Year,Director(s),Film
,Robert Wise,I Want to Live!
"1959
(32nd)",William Wyler,Ben-Hur
,Jack Clayton,Room at the Top
,George Stevens,The Diary of Anne Frank
,Billy Wilder,Some Like It Hot
,Fred Zinnemann,The Nun's Story
"1960
(33rd)",Billy Wilder,The Apartment
,Jack Cardiff,Sons and Lovers
,Jules Dassin,Never on Sunday
,Alfred Hitchcock,Psycho
,Fred Zinnemann,The Sundowners
"1961
(34th)","Robert Wise
Jerome Robbins",West Side Story
,Federico Fellini,La Dolce Vita
,Stanley Kramer,Judgment at Nuremberg
,Robert Rossen,The Hustler
,J. Lee Thompson,The Guns of Navarone
"1962
(35th)",David Lean,Lawrence of Arabia
,Pietro Germi,Divorce Italian Style
,Robert Mulligan,To Kill a Mockingbird
,Arthur Penn,The Miracle Worker
,Frank Perry,David and Lisa
"1963
(36th)",Tony Richardson,Tom Jones
,Federico Fellini,8½
,Elia Kazan,America America
,Otto Preminger,The Cardinal
,Martin Ritt,Hud
"1964
(37th)",George Cukor,My Fair Lady
,Michael Cacoyannis,Zorba the Greek
,Peter Glenville,Becket
,Stanley Kubrick,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
,Robert Stevenson,Mary Poppins
"1965
(38th)",Robert Wise,The Sound of Music
,David Lean,Doctor Zhivago
,John Schlesinger,Darling
,Hiroshi Teshigahara,Woman in the Dunes
,William Wyler,The Collector
"1966
(39th)",Fred Zinnemann,A Man for All Seasons
,Michelangelo Antonioni,Blowup
,Richard Brooks,The Professionals
,Claude Lelouch,A Man and a Woman
,Mike Nichols,Who's Afraid of Virginia Woolf?
"1967
(40th)",Mike Nichols,The Graduate
,Richard Brooks,In Cold Blood
,Norman Jewison,In the Heat of the Night
,Stanley Kramer,Guess Who's Coming to Dinner
,Arthur Penn,Bonnie and Clyde
"1968
(41st)",Carol Reed,Oliver!
,Anthony Harvey,The Lion in Winter
,Stanley Kubrick,2001: A Space Odyssey
,Gillo Pontecorvo,The Battle of Algiers
,Franco Zeffirelli,Romeo and Juliet
"1969
(42nd)",John Schlesinger,Midnight Cowboy
,Costa Gavras,Z
,George Roy Hill,Butch Cassidy and the Sundance Kid
,Arthur Penn,Alice's Restaurant
,Sydney Pollack,"They Shoot Horses, Don't They?"
"1970
(43rd)",Franklin J. Schaffner,Patton
,Robert Altman,M*A*S*H
,Federico Fellini,Fellini Satyricon
,Arthur Hiller,Love Story
,Ken Russell,Women in Love
"1971
(44th)",William Friedkin,The French Connection
,Peter Bogdanovich,The Last Picture Show
,Norman Jewison,Fiddler on the Roof
,Stanley Kubrick,A Clockwork Orange
,John Schlesinger,Sunday Bloody Sunday
"1972
(45th)",Bob Fosse,Cabaret
,John Boorman,Deliverance
,Francis Ford Coppola,The Godfather
,Joseph L. Mankiewicz,Sleuth
,Jan Troell,The Emigrants
"1973
(46th)",George Roy Hill,The Sting
,Ingmar Bergman,Cries and Whispers
,Bernardo Bertolucci,Last Tango in Paris
,William Friedkin,The Exorcist
,George Lucas,American Graffiti
"1974
(47th)",Francis Ford Coppola,The Godfather Part II
,John Cassavetes,A Woman Under the Influence
,Bob Fosse,Lenny
,Roman Polanski,Chinatown
,François Truffaut,Day for Night
"1975
(48th)",Miloš Forman,One Flew Over the Cuckoo's Nest
,Robert Altman,Nashville
,Federico Fellini,Amarcord
,Stanley Kubrick,Barry Lyndon
,Sidney Lumet,Dog Day Afternoon
"1976
(49th)",John G. Avildsen,Rocky
,Ingmar Bergman,Face to Face
,Sidney Lumet,Network
,Alan J. Pakula,All the President's Men
,Lina Wertmüller,Seven Beauties
"1977
(50th)",Woody Allen,Annie Hall
,George Lucas,Star Wars
,Herbert Ross,The Turning Point
,Steven Spielberg,Close Encounters of the Third Kind
,Fred Zinnemann,Julia
"1978
(51st)",Michael Cimino,The Deer Hunter
,Woody Allen,Interiors
,Hal Ashby,Coming Home
,"Warren Beatty
Buck Henry",Heaven Can Wait
,Alan Parker,Midnight Express
"1979
(52nd)",Robert Benton,Kramer vs. Kramer
,Francis Ford Coppola,Apocalypse Now
,Bob Fosse,All That Jazz
,Édouard Molinaro,La Cage aux Folles
,Peter Yates,Breaking Away
"1980
(53rd)",Robert Redford,Ordinary People
,David Lynch,The Elephant Man
,Roman Polanski,Tess
,Richard Rush,The Stunt Man
,Martin Scorsese,Raging Bull
"1981
(54th)",Warren Beatty,Reds
,Hugh Hudson,Chariots of Fire
,Louis Malle,Atlantic City
,Mark Rydell,On Golden Pond
,Steven Spielberg,Raiders of the Lost Ark
"1982
(55th)",Richard Attenborough,Gandhi
,Sidney Lumet,The Verdict
,Wolfgang Petersen,Das Boot
,Sydney Pollack,Tootsie
,Steven Spielberg,E.T. the Extra-Terrestrial
"1983
(56th)",James L. Brooks,Terms of Endearment
,Bruce Beresford,Tender Mercies
,Ingmar Bergman,Fanny and Alexander
,Mike Nichols,Silkwood
,Peter Yates,The Dresser
"1984
(57th)",Miloš Forman,Amadeus
,Woody Allen,Broadway Danny Rose
,Robert Benton,Places in the Heart
,Roland Joffé,The Killing Fields
,David Lean,A Passage to India
"1985
(58th)",Sydney Pollack,Out of Africa
,Héctor Babenco,Kiss of the Spider Woman
,John Huston,Prizzi's Honor
,Akira Kurosawa,Ran
,Peter Weir,Witness
"1986
(59th)",Oliver Stone,Platoon
,Woody Allen,Hannah and Her Sisters
,James Ivory,A Room with a View
,Roland Joffé,The Mission
,David Lynch,Blue Velvet
"1987
(60th)",Bernardo Bertolucci,The Last Emperor
,John Boorman,Hope and Glory
,Lasse Hallström,My Life as a Dog
,Norman Jewison,Moonstruck
,Adrian Lyne,Fatal Attraction
"1988
(61st)",Barry Levinson,Rain Man
,Charles Crichton,A Fish Called Wanda
,Mike Nichols,Working Girl
,Alan Parker,Mississippi Burning
,Martin Scorsese,The Last Temptation of Christ
"1989
(62nd)",Oliver Stone,Born on the Fourth of July
,Woody Allen,Crimes and Misdemeanors
,Kenneth Branagh,Henry V
,Jim Sheridan,My Left Foot
,Peter Weir,Dead Poets Society
"1990
(63rd)",Kevin Costner,Dances with Wolves
,Francis Ford Coppola,The Godfather Part III
,Stephen Frears,The Grifters
,Barbet Schroeder,Reversal of Fortune
,Martin Scorsese,Goodfellas
"1991
(64th)",Jonathan Demme,The Silence of the Lambs
,Barry Levinson,Bugsy
,Ridley Scott,Thelma & Louise
,John Singleton,Boyz n the Hood
,Oliver Stone,JFK
"1992
(65th)",Clint Eastwood,Unforgiven
,Robert Altman,The Player
,Martin Brest,Scent of a Woman
,James Ivory,Howards End
,Neil Jordan,The Crying Game
"1993
(66th)",Steven Spielberg,Schindler's List
,Robert Altman,Short Cuts
,Jane Campion,The Piano
,James Ivory,The Remains of the Day
,Jim Sheridan,In the Name of the Father
"1994
(67th)",Robert Zemeckis,Forrest Gump
,Woody Allen,Bullets over Broadway
,Krzysztof Kieślowski,Three Colors: Red
,Robert Redford,Quiz Show
,Quentin Tarantino,Pulp Fiction
"1995
(68th)",Mel Gibson,Braveheart
,Mike Figgis,Leaving Las Vegas
,Chris Noonan,Babe
,Michael Radford,Il Postino: The Postman
,Tim Robbins,Dead Man Walking
"1996
(69th)",Anthony Minghella,The English Patient
,Joel Coen,Fargo
,Miloš Forman,The People vs. Larry Flynt
,Scott Hicks,Shine
,Mike Leigh,Secrets & Lies
"1997
(70th)",James Cameron,Titanic
,Peter Cattaneo,The Full Monty
,Atom Egoyan,The Sweet Hereafter
,Curtis Hanson,L.A. Confidential
,Gus Van Sant,Good Will Hunting
"1998
(71st)",Steven Spielberg,Saving Private Ryan
,Roberto Benigni,Life Is Beautiful
,John Madden,Shakespeare in Love
,Terrence Malick,The Thin Red Line
,Peter Weir,The Truman Show
"1999
(72nd)",Sam Mendes,American Beauty
,Lasse Hallström,The Cider House Rules
,Spike Jonze,Being John Malkovich
,Michael Mann,The Insider
,M. Night Shyamalan,The Sixth Sense
"2000
(73rd)",Steven Soderbergh,Traffic
,Stephen Daldry,Billy Elliot
,Ang Lee,"Crouching Tiger, Hidden Dragon"
,Ridley Scott,Gladiator
,Steven Soderbergh,Erin Brockovich
"2001
(74th)",Ron Howard,A Beautiful Mind
,Robert Altman,Gosford Park
,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
,David Lynch,Mulholland Drive
,Ridley Scott,Black Hawk Down
"2002
(75th)",Roman Polanski,The Pianist
,Pedro Almodóvar,Talk to Her
,Stephen Daldry,The Hours
,Rob Marshall,Chicago
,Martin Scorsese,Gangs of New York
"2003
(76th)",Peter Jackson,The Lord of the Rings: The Return of the King
,Sofia Coppola,Lost in Translation
,Clint Eastwood,Mystic River
,Fernando Meirelles,City of God
,Peter Weir,Master and Commander: The Far Side of the World
"2004
(77th)",Clint Eastwood,Million Dollar Baby
,Taylor Hackford,Ray
,Mike Leigh,Vera Drake
,Alexander Payne,Sideways
,Martin Scorsese,The Aviator
"2005
(78th)",Ang Lee,Brokeback Mountain
,George Clooney,"Good Night, and Good Luck"
,Paul Haggis,Crash
,Bennett Miller,Capote
,Steven Spielberg,Munich
"2006
(79th)",Martin Scorsese,The Departed
,Clint Eastwood,Letters from Iwo Jima
,Stephen Frears,The Queen
,Paul Greengrass,United 93
,Alejandro G. Iñárritu,Babel
"2007
(80th)","Joel Coen
Ethan Coen",No Country for Old Men
,Paul Thomas Anderson,There Will Be Blood
,Tony Gilroy,Michael Clayton
,Jason Reitman,Juno
,Julian Schnabel,The Diving Bell and the Butterfly
"2008
(81st)",Danny Boyle,Slumdog Millionaire
,Stephen Daldry,The Reader
,David Fincher,The Curious Case of Benjamin Button
,Ron Howard,Frost/Nixon
,Gus Van Sant,Milk
"2009
(82nd)",Kathryn Bigelow,The Hurt Locker
,James Cameron,Avatar
,Lee Daniels,Precious
,Jason Reitman,Up in the Air
,Quentin Tarantino,Inglourious Basterds
"2010
(83rd)",Tom Hooper,The King's Speech
,Darren Aronofsky,Black Swan
,"Joel Coen
Ethan Coen",True Grit
,David Fincher,The Social Network
,David O. Russell,The Fighter
"2011
(84th)",Michel Hazanavicius,The Artist
,Woody Allen,Midnight in Paris
,Terrence Malick,The Tree of Life
,Alexander Payne,The Descendants
,Martin Scorsese,Hugo
"2012
(85th)",Ang Lee,Life of Pi
,Michael Haneke,Amour
,David O. Russell,Silver Linings Playbook
,Steven Spielberg,Lincoln
,Benh Zeitlin,Beasts of the Southern Wild
"2013
(86th)",Alfonso Cuarón,Gravity
,Steve McQueen,12 Years a Slave
,Alexander Payne,Nebraska
,David O. Russell,American Hustle
,Martin Scorsese,The Wolf of Wall Street
"2014
(87th)",Alejandro G. Iñárritu,Birdman
,Wes Anderson,The Grand Budapest Hotel
,Richard Linklater,Boyhood
,Bennett Miller,Foxcatcher
,Morten Tyldum,The Imitation Game
"2015
(88th)",Alejandro G. Iñárritu,The Revenant
,Lenny Abrahamson,Room
,Tom McCarthy,Spotlight
,Adam McKay,The Big Short
,George Miller,Mad Max: Fury Road
"2016
(89th)",Damien Chazelle,La La Land
,Mel Gibson,Hacksaw Ridge
,Barry Jenkins,Moonlight
,Kenneth Lonergan,Manchester by the Sea
,Denis Villeneuve,Arrival
